Metric,Value,Model
RECALL@1,0.949999988079071,ViT-B-16 (Base)
RECALL@1,0.9599999785423279,ViT-L-16-SigLIP-384
RECALL@1,0.05000000074505806,With Reranking
RECALL@5,1.0,ViT-B-16 (Base)
RECALL@5,1.0,ViT-L-16-SigLIP-384
RECALL@5,0.550000011920929,With Reranking
MRR,0.9733333587646484,ViT-B-16 (Base)
MRR,0.9800000190734863,ViT-L-16-SigLIP-384
MRR,0.2858571708202362,With Reranking
